"","NAMELSAD","PrimSource","sum(Total_MW)","GEOID","nsrdb3_ghi","avg_landval","irr_2"
"1","Sioux Falls, SD-MN Metro Area","solar",0,"43620",4.16065243793037,9.20546366069834,17.311028709256
"2","Baraboo, WI Micro Area","solar",0,"12660",4.00272615758957,9.36492072658167,16.0218166926517
"3","Evanston, WY-UT Micro Area","solar",57.6,"21740",4.70736574550745,9.2849379566368,22.1592922619769
"4","Cleveland, OH Metro Area","solar",15.5,"17410",3.92549917861294,10.5395309789199,15.4095438012909
"5","Port Lavaca, TX Micro Area","solar",196.3,"38920",5.04065833636888,9.60379967796669,25.4082364640051
"6","Wichita Falls, TX Metro Area","solar",0,"48660",5.08708807974489,8.26735741195712,25.8784651310825
"7","Marinette, WI-MI Micro Area","solar",0,"31940",3.88844096867518,8.86322664993717,15.1199731668716
"8","Cookeville, TN Micro Area","solar",0,"18260",4.40599714524694,8.81080987316946,19.4128108439242
"9","Tallahassee, FL Metro Area","solar",136.5,"45220",4.95754988268307,9.43253176425171,24.5773008392909
"10","Fallon, NV Micro Area","solar",20,"21980",5.23524373296426,6.79967755150566,27.4077769435416
"11","Huntington-Ashland, WV-KY-OH Metro Area","solar",0,"26580",4.18237545480009,8.35633264799875,17.4922644449143
"12","Portland-Vancouver-Hillsboro, OR-WA Metro Area","solar",110.5,"38900",3.59895480907185,10.0251504981384,12.9524757177414
"13","St. Louis, MO-IL Metro Area","solar",28.8,"41180",4.36079015299301,9.98533813742782,19.0164907584408
"14","College Station-Bryan, TX Metro Area","solar",0,"17780",4.93109591137948,9.24850667802109,24.3157068872234
"15","Little Rock-North Little Rock-Conway, AR Metro Area","solar",2,"30780",4.6330186374328,9.05517551626951,21.4648616947997
"16","Klamath Falls, OR Micro Area","solar",126.9,"28900",4.71045055472893,8.71913511758717,22.188344428546
"17","Kingston, NY Metro Area","solar",45.8,"28740",3.98465768730208,10.1272705570146,15.8774968849756
"18","Rexburg, ID Micro Area","solar",0,"39940",4.17665276205036,9.70819412067971,17.4444282947429
"19","Dallas-Fort Worth-Arlington, TX Metro Area","solar",843.1,"19100",4.95091255453133,10.4875428551374,24.511535122616
"20","Columbia, SC Metro Area","solar",503.2,"17900",4.73748560551703,9.09344621685064,22.443769862481
"21","Memphis, TN-MS-AR Metro Area","solar",373.7,"32820",4.63574768230715,9.31847165736816,21.4901565740161
"22","Davenport-Moline-Rock Island, IA-IL Metro Area","solar",0,"19340",4.15643085551085,9.49572420245253,17.2759174566427
